Data,Ultimo,Abertura,Maxima,Minima,Vol,Var
2024-07-01,11.45,11.42,11.5,11.33,1951.0,0.35
2024-06-28,11.41,11.43,11.48,11.16,5140.0,-0.44
2024-06-27,11.46,11.46,11.54,11.38,2148.0,0.09
2024-06-26,11.45,11.3,11.52,11.27,2625.0,0.62
2024-06-25,11.38,11.25,11.41,11.21,4359.0,0.53
2024-06-24,11.32,11.26,11.4,11.22,3219.0,0.35
2024-06-21,11.28,11.21,11.38,11.21,5342.0,0.0
2024-06-20,11.28,11.25,11.4,11.2,2949.0,0.71
2024-06-19,11.2,11.18,11.23,11.04,1788.0,-0.44
2024-06-18,11.25,11.19,11.37,11.16,3728.0,0.09
2024-06-17,11.24,11.21,11.33,11.19,1807.0,0.0
2024-06-14,11.24,11.09,11.28,10.98,2235.0,1.35
2024-06-13,11.09,11.17,11.21,11.07,3923.0,-1.6
2024-06-12,11.27,11.45,11.47,11.19,4092.0,-1.14
2024-06-11,11.4,11.57,11.57,11.39,2002.0,-0.52
2024-06-10,11.46,11.52,11.58,11.43,2375.0,-0.87
2024-06-07,11.56,11.71,11.76,11.53,3206.0,-2.2
2024-06-06,11.82,11.54,11.84,11.54,3454.0,2.16
2024-06-05,11.57,11.69,11.8,11.52,3562.0,-1.03
2024-06-04,11.69,11.57,11.73,11.44,3640.0,1.21
2024-06-03,11.55,11.57,11.7,11.46,2493.0,-0.09
2024-05-31,11.56,11.46,11.66,11.46,6294.0,0.35
2024-05-29,11.52,11.53,11.61,11.34,3433.0,-0.6
2024-05-28,11.59,11.89,11.89,11.56,4043.0,-1.86
2024-05-27,11.81,11.93,11.95,11.79,1652.0,-0.51
2024-05-24,11.87,11.96,11.99,11.87,2274.0,-0.75
2024-05-23,11.96,11.92,12.07,11.92,2840.0,-0.08
2024-05-22,11.97,11.98,12.11,11.93,4924.0,-0.42
2024-05-21,12.02,12.1,12.25,12.02,3836.0,-0.66
2024-05-20,12.1,12.33,12.39,12.05,3889.0,-2.26
2024-05-17,12.38,12.4,12.41,12.28,2797.0,0.0
2024-05-16,12.38,12.45,12.51,12.24,3246.0,0.57
2024-05-15,12.31,12.19,12.43,12.17,3662.0,1.23
2024-05-14,12.16,12.08,12.25,12.08,3266.0,0.83
2024-05-13,12.06,12.07,12.11,11.96,2246.0,0.17
2024-05-10,12.04,12.05,12.09,11.95,2894.0,-0.08
2024-05-09,12.05,11.98,12.2,11.97,2573.0,-0.99
