Data,Ultimo,Abertura,Maxima,Minima,Vol,Var
2024-07-01,9.04,9.13,9.2,8.97,289000.0,-0.88
2024-06-28,9.12,9.35,9.52,9.08,338000.0,-3.59
2024-06-27,9.46,9.4,9.53,9.31,123000.0,1.18
2024-06-26,9.35,9.18,9.38,9.04,309000.0,0.54
2024-06-25,9.3,9.11,9.37,9.1,203000.0,1.2
2024-06-24,9.19,8.85,9.24,8.85,222000.0,3.84
2024-06-21,8.85,8.99,9.07,8.81,423000.0,-1.88
2024-06-20,9.02,9.25,9.35,9.02,217000.0,-1.42
2024-06-19,9.15,9.0,9.2,8.9,78310000.0,1.67
2024-06-18,9.0,8.99,9.12,8.91,132000.0,0.0
2024-06-17,9.0,9.15,9.21,9.0,273000.0,-1.64
2024-06-14,9.15,9.3,9.43,9.09,450000.0,-1.51
2024-06-13,9.29,9.5,9.54,9.21,207000.0,-2.0
2024-06-12,9.48,9.65,9.8,9.37,246000.0,-1.25
2024-06-11,9.6,9.5,9.64,9.46,183000.0,1.91
2024-06-10,9.42,9.54,9.62,9.34,304000.0,-1.15
2024-06-07,9.53,9.45,9.7,9.43,252000.0,-0.73
2024-06-06,9.6,9.61,9.82,9.57,226000.0,-0.52
2024-06-05,9.65,9.49,9.73,9.46,243000.0,1.37
2024-06-04,9.52,9.53,9.58,9.39,135000.0,0.0
2024-06-03,9.52,9.67,9.74,9.44,149000.0,-1.55
2024-05-31,9.67,9.55,9.67,9.33,294000.0,1.9
2024-05-29,9.49,9.64,9.64,9.29,309000.0,-2.16
2024-05-28,9.7,10.0,10.11,9.66,125000.0,-2.41
2024-05-27,9.94,9.74,9.94,9.74,170000.0,2.05
2024-05-25,9.74,9.74,9.74,9.74,0.0,-0.51
2024-05-24,9.79,9.96,9.97,9.77,166000.0,-0.81
2024-05-23,9.87,9.95,10.31,9.8,370000.0,-0.7
2024-05-22,9.94,9.81,10.0,9.54,404000.0,0.91
2024-05-21,9.85,9.96,10.05,9.8,105000.0,-0.51
2024-05-20,9.9,9.84,9.97,9.7,299000.0,-0.3
2024-05-17,9.93,10.09,10.26,9.85,389000.0,-1.68
2024-05-16,10.1,10.22,10.3,10.03,431000.0,-0.49
