Data,Ultimo,Abertura,Maxima,Minima,Vol,Var
2024-07-01,17.62,17.88,18.15,17.6,241000.0,-1.34
2024-06-28,17.86,18.4,18.43,17.86,197000.0,-3.15
2024-06-27,18.44,17.91,18.48,17.72,248000.0,3.31
2024-06-26,17.85,17.89,18.06,17.7,273000.0,-0.89
2024-06-25,18.01,18.07,18.07,17.72,211000.0,0.11
2024-06-24,17.99,18.05,18.19,17.71,231000.0,0.22
2024-06-21,17.95,17.9,18.2,17.41,469000.0,0.0
2024-06-20,17.95,17.87,18.18,17.76,260000.0,1.13
2024-06-19,17.75,17.59,17.87,17.4,106000.0,0.91
2024-06-18,17.59,17.5,17.67,17.27,257000.0,0.69
2024-06-17,17.47,18.28,18.28,17.43,379000.0,-5.11
2024-06-14,18.41,18.4,18.8,18.21,173000.0,0.22
2024-06-13,18.37,17.81,18.53,17.72,206000.0,2.68
2024-06-12,17.89,18.39,18.44,17.66,222000.0,-2.24
2024-06-11,18.3,18.06,18.48,18.06,193000.0,1.78
2024-06-10,17.98,17.73,18.36,17.6,241000.0,1.99
2024-06-07,17.63,17.79,17.82,17.4,215000.0,-1.51
2024-06-06,17.9,18.67,18.81,17.75,466000.0,-4.12
2024-06-05,18.67,18.62,19.08,18.46,360000.0,0.38
2024-06-04,18.6,18.69,18.74,18.41,119000.0,-0.16
2024-06-03,18.63,19.02,19.19,18.41,310000.0,-1.43
2024-05-31,18.9,19.23,19.46,18.83,147000.0,-2.17
2024-05-29,19.32,19.14,19.41,19.08,104000.0,0.05
2024-05-28,19.31,19.31,19.6,19.13,261000.0,0.84
2024-05-27,19.15,19.23,19.57,19.09,77700000.0,-0.36
2024-05-25,19.22,19.22,19.22,19.22,0.0,0.1
2024-05-24,19.2,19.3,19.65,19.1,128000.0,-0.57
2024-05-23,19.31,19.92,20.14,19.28,217000.0,-3.01
2024-05-22,19.91,19.98,20.35,19.91,188000.0,-0.95
2024-05-21,20.1,19.73,20.22,19.7,189000.0,1.46
2024-05-20,19.81,19.96,20.55,19.67,618000.0,3.23
2024-05-17,19.19,19.35,19.64,19.19,140000.0,-0.83
2024-05-16,19.35,19.38,19.62,19.26,122000.0,0.52
2024-05-15,19.25,19.45,19.76,19.25,200000.0,-1.28
2024-05-14,19.5,18.92,19.63,18.81,321000.0,2.47
2024-05-13,19.03,19.02,19.35,18.92,202000.0,-0.16
2024-05-10,19.06,19.34,19.56,19.06,121000.0,-1.14
2024-05-09,19.28,19.66,19.67,18.89,339000.0,-2.18
2024-05-08,19.71,19.98,20.13,19.71,254000.0,-1.7
2024-05-07,20.05,19.78,20.58,19.77,632000.0,1.78
2024-05-06,19.7,19.79,20.18,19.3,1659000.0,-14.53
2024-05-03,23.05,22.28,23.05,22.16,368000.0,4.49
2024-05-02,22.06,21.43,22.18,21.32,342000.0,3.67
2024-04-30,21.28,22.25,22.33,21.02,573000.0,-4.92
2024-04-29,22.38,22.7,23.45,22.38,276000.0,-1.89
2024-04-26,22.81,22.55,23.06,22.43,254000.0,1.88
2024-04-25,22.39,22.55,22.75,22.21,280000.0,-0.67
2024-04-24,22.54,22.55,22.91,22.41,180000.0,-0.09
2024-04-23,22.56,22.3,22.85,22.14,184000.0,0.13
2024-04-22,22.53,22.2,22.72,21.77,197000.0,1.03
2024-04-19,22.3,22.56,22.65,22.16,193000.0,-0.49
2024-04-18,22.41,22.4,22.57,21.95,230000.0,-0.13
2024-04-17,22.44,23.01,23.14,22.44,220000.0,-2.09
2024-04-16,22.92,22.97,23.15,22.72,213000.0,-1.63
2024-04-15,23.3,23.6,23.7,23.06,225000.0,-1.98
2024-04-12,23.77,24.53,24.53,23.66,263000.0,-3.14
2024-04-11,24.54,24.62,24.7,24.32,144000.0,-0.69
2024-04-10,24.71,24.74,24.9,24.38,300000.0,-0.6
2024-04-09,24.86,25.0,25.14,24.67,243000.0,-0.52
2024-04-08,24.99,25.25,25.25,24.58,404000.0,-2.84
2024-04-05,25.72,26.27,26.57,25.45,350000.0,-1.87
2024-04-04,26.21,26.11,26.8,26.11,164000.0,0.38
2024-04-03,26.11,26.15,26.33,25.15,273000.0,0.27
2024-04-02,26.04,26.25,26.57,25.98,270000.0,-0.99
2024-04-01,26.3,26.3,26.54,26.02,174000.0,-0.38
2024-03-28,26.4,27.3,27.3,26.29,461000.0,-3.72
2024-03-27,27.42,25.98,27.42,25.73,563000.0,4.54
2024-03-26,26.23,25.77,26.39,25.62,511000.0,0.65
2024-03-25,26.06,26.97,27.13,25.74,543000.0,-4.44
2024-03-23,27.27,27.27,27.27,27.27,0.0,-0.11
2024-03-22,27.3,26.8,27.53,26.25,842000.0,1.75
2024-03-21,26.83,26.36,26.83,25.65,936000.0,0.26
2024-03-20,26.76,24.75,26.76,24.16,1945000.0,15.69
2024-03-19,23.13,21.75,23.29,21.68,805000.0,5.62
2024-03-18,21.9,21.71,21.94,21.18,418000.0,0.88
2024-03-15,21.71,20.37,21.71,20.31,941000.0,3.38
2024-03-14,21.0,20.83,21.0,20.21,352000.0,0.82
2024-03-13,20.83,20.5,21.03,20.38,185000.0,1.61
2024-03-12,20.5,20.57,21.12,20.43,217000.0,0.24
2024-03-11,20.45,20.04,20.74,19.98,371000.0,1.49
2024-03-08,20.15,20.09,20.76,19.93,236000.0,-1.32
2024-03-07,20.42,20.3,20.46,20.06,168000.0,0.99
2024-03-06,20.22,21.11,21.2,20.16,390000.0,-4.13
2024-03-05,21.09,22.0,22.34,21.09,375000.0,-4.74
2024-03-04,22.14,21.89,22.14,21.25,327000.0,1.14
2024-03-01,21.89,21.07,21.89,21.06,405000.0,4.04
2024-02-29,21.04,20.47,21.12,20.47,279000.0,1.94
2024-02-28,20.64,21.05,21.05,20.46,226000.0,-2.27
2024-02-27,21.12,20.83,21.5,20.83,397000.0,1.15
2024-02-26,20.88,20.13,21.06,20.1,340000.0,3.32
2024-02-23,20.21,20.59,20.89,20.13,323000.0,-1.89
2024-02-22,20.6,19.46,20.65,19.46,622000.0,6.35
2024-02-21,19.37,19.82,20.24,18.99,858000.0,-0.15
2024-02-20,19.4,18.93,19.52,18.83,588000.0,1.78
2024-02-19,19.06,19.25,19.42,18.83,210000.0,-0.99
2024-02-16,19.25,17.55,19.58,17.55,1125000.0,10.32
2024-02-15,17.45,17.26,17.95,17.26,537000.0,2.05
2024-02-14,17.1,17.33,17.33,16.92,278000.0,-1.44
2024-02-09,17.35,17.51,17.72,17.29,159000.0,-0.97
2024-02-08,17.52,17.51,17.72,17.36,183000.0,-0.34
2024-02-07,17.58,17.79,18.04,17.32,226000.0,-1.07
2024-02-06,17.77,17.63,18.06,17.56,238000.0,1.08
2024-02-05,17.58,17.61,17.71,16.96,390000.0,0.0
2024-02-02,17.58,17.85,18.27,17.5,261000.0,-1.51
2024-02-01,17.85,17.81,18.06,17.61,238000.0,0.22
2024-01-31,17.81,17.71,18.43,17.68,310000.0,0.51
2024-01-30,17.72,18.76,18.78,17.72,346000.0,-5.64
2024-01-29,18.78,18.45,18.94,18.17,211000.0,1.24
2024-01-26,18.55,18.29,18.73,18.29,234000.0,1.42
2024-01-25,18.29,17.8,18.42,17.77,261000.0,2.75
2024-01-24,17.8,17.85,18.29,17.71,229000.0,-0.06
2024-01-23,17.81,17.32,17.91,17.27,331000.0,3.19
2024-01-22,17.26,17.6,17.75,17.11,407000.0,-2.21
2024-01-19,17.65,17.78,17.96,17.65,241000.0,-0.34
2024-01-18,17.71,17.96,18.21,17.7,261000.0,-0.9
2024-01-17,17.87,18.3,18.56,17.87,508000.0,-2.93
2024-01-16,18.41,18.82,18.91,18.33,240000.0,-2.8
2024-01-15,18.94,18.86,19.04,18.72,118000.0,0.05
2024-01-12,18.93,18.62,19.59,18.59,375000.0,1.83
2024-01-11,18.59,18.99,19.08,18.59,266000.0,-2.11
2024-01-10,18.99,19.75,19.75,18.9,394000.0,-4.09
2024-01-09,19.8,20.31,20.44,19.76,297000.0,-3.46
2024-01-08,20.51,19.97,20.65,19.92,213000.0,1.99
2024-01-05,20.11,20.57,20.85,20.04,358000.0,-2.71
2024-01-04,20.67,20.43,20.92,20.33,276000.0,0.83
2024-01-03,20.5,20.98,20.98,20.15,424000.0,-2.84
2024-01-02,21.1,21.78,21.8,20.8,295000.0,-3.48
2023-12-28,21.86,21.61,21.89,21.54,232000.0,0.92
2023-12-27,21.66,21.65,21.81,21.33,277000.0,-0.64
2023-12-26,21.8,21.55,22.09,21.44,326000.0,1.77
2023-12-22,21.42,21.0,21.55,20.9,489000.0,1.76
2023-12-21,21.05,19.8,21.16,19.4,951000.0,7.07
2023-12-20,19.66,19.4,20.28,19.09,602000.0,0.98
2023-12-19,19.47,18.26,19.6,18.18,787000.0,7.15
2023-12-18,18.17,17.49,18.27,17.49,460000.0,4.37
2023-12-15,17.41,16.86,17.41,16.72,651000.0,2.9
2023-12-14,16.92,17.3,17.44,16.5,679000.0,-1.57
2023-12-13,17.19,16.77,17.34,16.25,1066000.0,2.5
2023-12-12,16.77,16.65,16.96,16.43,664000.0,-0.18
2023-12-11,16.8,17.28,17.41,16.69,808000.0,-4.71
2023-12-08,17.63,17.7,18.16,17.29,704000.0,-0.28
2023-12-07,17.68,17.41,17.7,17.13,507000.0,1.55
2023-12-06,17.41,17.49,17.85,17.32,626000.0,-0.17
2023-12-05,17.44,17.83,18.35,17.35,718000.0,-2.57
2023-12-04,17.9,17.8,18.23,17.26,865000.0,-0.61
2023-12-01,18.01,18.36,18.75,17.1,2000000.0,-5.85
2023-11-30,19.13,20.07,20.85,18.75,728000.0,-6.45
2023-11-29,20.45,20.06,21.21,20.0,451000.0,2.25
2023-11-28,20.0,20.01,20.28,19.74,203000.0,-0.1
2023-11-27,20.02,20.2,20.32,19.92,282000.0,-0.94
2023-11-24,20.21,20.26,20.45,20.08,171000.0,-0.25
2023-11-23,20.26,20.13,20.4,20.01,144000.0,0.9
2023-11-22,20.08,19.87,20.49,19.81,247000.0,1.01
2023-11-21,19.88,20.33,20.36,19.88,329000.0,-1.83
2023-11-20,20.25,20.01,20.5,20.0,368000.0,1.15
2023-11-17,20.02,19.86,20.45,19.84,328000.0,1.06
2023-11-16,19.81,20.02,20.04,19.48,435000.0,-1.05
2023-11-14,20.02,19.49,20.24,19.49,529000.0,2.77
2023-11-13,19.48,19.64,19.86,19.18,365000.0,-1.17
2023-11-10,19.71,19.67,20.08,18.96,638000.0,-1.35
2023-11-09,19.98,21.0,21.26,19.5,1839000.0,15.62
2023-11-08,17.28,17.64,18.1,17.25,287000.0,-2.04
2023-11-07,17.64,17.6,17.83,17.19,365000.0,-0.51
2023-11-06,17.73,17.7,18.38,17.65,284000.0,0.4
2023-11-03,17.66,16.88,17.69,16.83,339000.0,6.9
2023-11-01,16.52,16.06,16.52,15.75,374000.0,2.8
2023-10-31,16.07,16.56,16.64,16.0,375000.0,-3.08
2023-10-30,16.58,17.61,17.75,16.57,568000.0,-5.47
2023-10-27,17.54,17.71,18.13,17.48,216000.0,-1.24
2023-10-26,17.76,17.66,17.83,17.5,266000.0,0.57
2023-10-25,17.66,18.05,18.06,17.47,264000.0,-2.11
2023-10-24,18.04,18.42,18.63,18.02,192000.0,-1.69
