Data,Ultimo,Abertura,Maxima,Minima,Vol,Var
2024-07-01,36.7,36.25,36.7,35.7,498000.0,1.52
2024-06-28,36.15,38.09,38.4,35.26,1675000.0,-5.42
2024-06-27,38.22,38.02,38.58,37.8,480000.0,0.53
2024-06-26,38.02,37.46,38.2,37.29,800000.0,0.72
2024-06-25,37.75,37.55,38.24,37.01,518000.0,0.72
2024-06-24,37.48,38.19,38.57,37.41,439000.0,-1.03
2024-06-21,37.87,36.48,37.87,36.23,766000.0,4.18
2024-06-20,36.35,37.05,37.6,36.21,690000.0,-2.31
2024-06-19,37.21,36.84,37.5,36.55,508000.0,1.11
2024-06-18,36.8,37.62,37.62,36.39,620000.0,-2.34
2024-06-17,37.68,37.12,37.9,36.74,666000.0,0.94
2024-06-14,37.33,39.43,39.46,37.24,785000.0,-5.35
2024-06-13,39.44,40.0,40.85,38.88,826000.0,-1.33
2024-06-12,39.97,39.05,39.99,38.51,703000.0,2.99
2024-06-11,38.81,39.25,39.95,38.61,848000.0,-0.56
2024-06-10,39.03,38.5,39.3,38.0,528000.0,1.64
2024-06-07,38.4,36.55,38.83,36.32,711000.0,4.04
2024-06-06,36.91,36.72,37.47,36.25,406000.0,0.85
2024-06-05,36.6,37.8,37.91,36.5,728000.0,-2.87
2024-06-04,37.68,36.71,38.4,36.63,931000.0,2.59
2024-06-03,36.73,36.4,37.3,36.35,509000.0,1.38
2024-05-31,36.23,36.49,36.76,35.51,539000.0,-1.15
2024-05-29,36.65,37.21,37.54,36.57,419000.0,-1.4
2024-05-28,37.17,38.4,38.54,37.14,603000.0,-2.57
2024-05-27,38.15,37.99,38.16,37.27,173000.0,1.25
2024-05-24,37.68,37.97,38.23,37.38,382000.0,-0.76
2024-05-23,37.97,38.21,38.55,37.63,650000.0,-1.86
2024-05-22,38.69,38.98,39.33,38.02,641000.0,-2.05
2024-05-21,39.5,39.0,39.6,38.89,354000.0,1.59
2024-05-20,38.88,39.56,39.57,38.33,803000.0,-1.72
2024-05-17,39.56,38.6,39.77,38.6,1312000.0,2.3
2024-05-16,38.67,39.3,39.68,38.43,881000.0,-0.77
2024-05-15,38.97,36.89,39.06,36.7,991000.0,5.64
2024-05-14,36.89,34.34,36.96,34.15,1271000.0,7.65
2024-05-13,34.27,33.57,34.35,33.55,401000.0,2.3
2024-05-10,33.5,33.74,34.68,33.27,987000.0,-1.44
2024-05-09,33.99,33.42,34.04,33.2,456000.0,1.22
2024-05-08,33.58,33.5,34.07,33.33,304000.0,-0.24
2024-05-07,33.66,34.35,34.56,32.73,978000.0,-2.01
2024-05-06,34.35,34.25,34.82,34.02,482000.0,0.29
2024-05-03,34.25,33.0,34.3,32.89,640000.0,4.68
2024-05-02,32.72,33.36,34.02,32.72,804000.0,-1.89
2024-04-30,33.35,33.18,33.48,33.04,350000.0,0.15
2024-04-29,33.3,33.15,33.54,32.95,578000.0,0.3
2024-04-26,33.2,32.47,33.44,32.25,713000.0,3.27
2024-04-25,32.15,31.24,32.42,31.03,522000.0,2.68
2024-04-24,31.31,31.14,31.49,31.01,576000.0,0.77
2024-04-23,31.07,31.06,31.6,31.01,275000.0,-0.92
2024-04-22,31.36,31.35,31.8,30.94,598000.0,1.42
2024-04-19,30.92,31.84,32.08,30.56,694000.0,-2.86
2024-04-18,31.83,31.9,32.2,31.52,535000.0,-0.34
2024-04-17,31.94,32.06,32.44,31.71,453000.0,0.57
2024-04-16,31.76,31.2,31.9,30.81,748000.0,1.08
2024-04-15,31.42,31.8,32.48,31.2,1035000.0,-1.07
2024-04-12,31.76,32.25,32.56,31.62,422000.0,-2.64
2024-04-11,32.62,32.73,32.8,31.94,345000.0,-0.67
2024-04-10,32.84,32.35,32.96,32.3,525000.0,0.89
2024-04-09,32.55,32.51,32.68,31.95,358000.0,0.18
2024-04-08,32.49,32.3,32.62,31.86,427000.0,0.34
2024-04-05,32.38,32.72,32.79,32.15,545000.0,-0.61
2024-04-04,32.58,33.18,33.83,32.49,473000.0,-1.57
2024-04-03,33.1,32.77,33.25,32.32,503000.0,1.07
2024-04-02,32.75,32.47,33.06,32.07,656000.0,1.11
2024-04-01,32.39,33.51,33.6,32.29,616000.0,-2.76
2024-03-28,33.31,33.12,33.91,32.99,679000.0,0.48
2024-03-27,33.15,33.43,33.43,32.95,485000.0,-0.45
2024-03-26,33.3,33.04,33.64,32.8,783000.0,-0.66
2024-03-25,33.52,33.35,33.77,32.72,1120000.0,0.42
2024-03-23,33.38,33.38,33.38,33.38,0.0,0.09
2024-03-22,33.35,31.2,33.65,31.16,2419000.0,7.93
2024-03-21,30.9,31.8,31.8,30.64,904000.0,-2.46
2024-03-20,31.68,31.57,32.1,31.08,940000.0,0.35
2024-03-19,31.57,29.63,31.63,29.6,1684000.0,6.55
2024-03-18,29.63,29.73,30.0,27.66,1805000.0,1.82
2024-03-15,29.1,29.53,29.8,29.03,1260000.0,-0.92
2024-03-14,29.37,27.35,29.46,27.35,2408000.0,10.21
2024-03-13,26.65,26.28,27.08,26.27,809000.0,0.64
2024-03-12,26.48,26.73,26.73,25.91,491000.0,-0.56
2024-03-11,26.63,26.79,26.96,26.09,357000.0,-0.78
2024-03-08,26.84,26.31,27.26,26.3,452000.0,1.51
2024-03-07,26.44,26.7,27.1,26.13,640000.0,-1.2
2024-03-06,26.76,26.88,27.06,26.03,736000.0,-0.15
2024-03-05,26.8,27.24,27.3,26.73,1021000.0,-0.74
2024-03-04,27.0,25.98,27.1,25.8,2079000.0,4.33
2024-03-01,25.88,24.93,25.93,24.72,1571000.0,5.94
2024-02-29,24.43,23.93,24.43,23.71,608000.0,2.05
2024-02-28,23.94,23.38,24.12,23.33,844000.0,2.09
2024-02-27,23.45,22.93,23.95,22.88,761000.0,2.67
2024-02-26,22.84,22.67,23.13,22.6,471000.0,0.48
2024-02-23,22.73,22.77,23.08,22.66,420000.0,-0.18
2024-02-22,22.77,22.54,23.07,22.51,701000.0,1.2
2024-02-21,22.5,22.73,22.79,22.28,493000.0,-1.19
2024-02-20,22.77,22.64,23.04,22.5,326000.0,0.4
2024-02-19,22.68,22.32,22.73,22.19,186000.0,0.76
2024-02-16,22.51,22.77,22.87,22.39,294000.0,-0.84
2024-02-15,22.7,22.77,23.0,22.44,299000.0,-0.48
2024-02-14,22.81,22.22,22.81,22.2,383000.0,1.11
2024-02-09,22.56,21.89,22.78,21.89,886000.0,2.92
2024-02-08,21.92,21.54,21.96,21.45,386000.0,1.06
2024-02-07,21.69,21.92,22.22,21.63,608000.0,-0.64
2024-02-06,21.83,22.52,22.66,21.55,1496000.0,-3.83
2024-02-05,22.7,22.47,22.84,22.16,542000.0,1.16
2024-02-02,22.44,22.58,22.62,21.99,596000.0,-0.13
2024-02-01,22.47,22.69,22.78,21.96,810000.0,-1.36
2024-01-31,22.78,22.96,23.25,22.67,653000.0,-0.39
2024-01-30,22.87,22.3,22.92,22.24,467000.0,2.46
2024-01-29,22.32,22.31,22.37,21.86,586000.0,-0.36
2024-01-26,22.4,22.72,22.92,22.26,271000.0,-1.41
2024-01-25,22.72,22.92,22.92,22.42,239000.0,-0.04
2024-01-24,22.73,22.56,23.2,22.56,567000.0,1.02
2024-01-23,22.5,21.85,22.51,21.77,641000.0,3.45
2024-01-22,21.75,21.42,21.78,21.28,499000.0,1.97
2024-01-19,21.33,21.1,21.48,20.82,441000.0,1.23
2024-01-18,21.07,21.5,21.5,20.95,188000.0,-1.03
2024-01-17,21.29,21.27,21.6,21.21,289000.0,-0.28
2024-01-16,21.35,21.33,21.44,21.04,678000.0,-0.33
2024-01-15,21.42,21.63,21.68,21.36,165000.0,-1.29
2024-01-12,21.7,21.8,21.85,21.45,324000.0,-0.91
2024-01-11,21.9,22.43,22.43,21.74,792000.0,-1.88
2024-01-10,22.32,21.58,22.4,21.52,1388000.0,3.38
2024-01-09,21.59,21.7,21.94,21.5,248000.0,-0.42
2024-01-08,21.68,21.39,21.77,21.39,472000.0,1.45
2024-01-05,21.37,21.17,21.37,21.02,436000.0,1.04
2024-01-04,21.15,21.54,21.55,20.86,792000.0,-1.9
2024-01-03,21.56,21.99,22.06,21.33,1077000.0,-2.09
2024-01-02,22.02,22.39,22.47,21.85,580000.0,-1.65
2023-12-28,22.39,22.53,22.75,22.24,2589000.0,-1.19
2023-12-27,22.66,22.51,22.89,22.46,682000.0,0.62
2023-12-26,22.52,22.74,22.78,22.43,465000.0,-0.97
2023-12-22,22.74,22.62,22.83,22.61,551000.0,0.49
2023-12-21,22.63,22.62,22.8,22.39,896000.0,0.71
2023-12-20,22.47,22.74,22.85,22.36,835000.0,-1.19
2023-12-19,22.74,23.37,23.47,22.67,1904000.0,-2.74
2023-12-18,23.38,23.85,24.04,23.25,999000.0,-2.05
2023-12-15,23.87,24.0,24.04,23.63,762000.0,-0.13
2023-12-14,23.9,24.45,24.66,23.81,604000.0,-1.89
2023-12-13,24.36,23.89,24.59,23.89,726000.0,1.97
2023-12-12,23.89,23.85,24.0,23.62,439000.0,0.38
2023-12-11,23.8,23.14,23.81,23.11,658000.0,2.85
2023-12-08,23.14,23.41,23.48,22.94,376000.0,-0.43
2023-12-07,23.24,23.21,23.55,22.98,465000.0,0.17
2023-12-06,23.2,23.34,23.48,23.04,725000.0,-0.09
2023-12-05,23.22,23.0,23.39,22.86,736000.0,0.96
2023-12-04,23.0,22.96,23.36,22.92,897000.0,0.7
2023-12-01,22.84,21.55,22.85,21.54,1595000.0,6.23
2023-11-30,21.5,20.61,21.62,20.54,1323000.0,5.44
2023-11-29,20.39,20.09,20.44,19.89,473000.0,2.36
2023-11-28,19.92,20.3,20.53,19.85,551000.0,-1.73
2023-11-27,20.27,20.09,20.27,19.99,225000.0,1.25
2023-11-24,20.02,19.96,20.07,19.8,179000.0,-0.5
2023-11-23,20.12,20.27,20.5,19.91,399000.0,0.1
2023-11-22,20.1,19.84,20.23,19.84,737000.0,1.93
2023-11-21,19.72,20.02,20.17,19.72,556000.0,-1.25
2023-11-20,19.97,19.87,20.08,19.77,395000.0,0.4
2023-11-17,19.89,19.75,19.93,19.66,396000.0,1.07
2023-11-16,19.68,19.49,20.0,19.49,935000.0,0.92
2023-11-14,19.5,19.05,19.72,19.05,1260000.0,2.47
2023-11-13,19.03,19.25,19.33,18.97,376000.0,-1.14
2023-11-10,19.25,18.89,19.4,18.89,513000.0,2.12
2023-11-09,18.85,19.21,19.48,18.82,714000.0,-1.15
2023-11-08,19.07,18.4,19.15,18.4,768000.0,3.92
2023-11-07,18.35,18.62,18.72,18.14,657000.0,-1.45
2023-11-06,18.62,18.88,18.99,18.26,615000.0,-0.21
2023-11-03,18.66,18.09,18.7,18.07,818000.0,3.96
2023-11-01,17.95,17.58,17.98,17.58,363000.0,2.05
2023-10-31,17.59,17.38,17.68,17.26,211000.0,1.21
