Data,Ultimo,Abertura,Maxima,Minima,Vol,Var
2024-07-01,25.56,25.26,25.69,25.22,277000.0,-0.31
2024-06-28,25.63,26.31,26.4,25.4,854000.0,-3.24
2024-06-27,26.49,26.25,26.64,26.09,349000.0,0.49
2024-06-26,26.36,26.05,26.36,25.97,610000.0,0.15
2024-06-25,26.32,26.13,26.32,25.95,972000.0,0.73
2024-06-24,26.13,25.74,26.25,25.44,698000.0,1.47
2024-06-21,25.75,24.72,25.75,24.61,1054000.0,4.07
2024-06-20,24.75,25.04,25.15,24.28,633000.0,0.08
2024-06-19,24.73,24.52,24.85,24.28,451000.0,1.1
2024-06-18,24.46,25.03,25.03,24.44,627000.0,-2.27
2024-06-17,25.03,25.65,25.65,24.82,516000.0,-2.45
2024-06-14,25.65,24.89,25.82,24.89,563000.0,2.96
2024-06-13,24.92,24.63,25.15,24.45,588000.0,0.89
2024-06-12,24.7,25.11,25.21,24.37,1102000.0,-1.32
2024-06-11,25.03,25.16,25.33,24.85,404000.0,-0.12
2024-06-10,25.06,25.08,25.28,24.96,249000.0,-0.87
2024-06-07,25.28,24.72,25.68,24.72,611000.0,0.76
2024-06-06,25.09,24.77,25.31,24.53,452000.0,0.72
2024-06-05,24.91,24.96,25.38,24.88,423000.0,-0.91
2024-06-04,25.14,24.99,25.38,24.86,316000.0,0.0
2024-06-03,25.14,24.94,25.34,24.83,341000.0,0.44
2024-05-31,25.03,25.53,25.6,24.85,1608000.0,-2.83
2024-05-29,25.75,25.66,25.98,25.46,306000.0,-0.12
2024-05-28,25.78,26.03,26.1,25.65,563000.0,-0.35
2024-05-27,25.87,26.1,26.2,25.71,261000.0,-0.18
2024-05-25,25.92,25.92,25.92,25.92,0.0,-0.36
2024-05-24,26.01,26.53,26.55,25.85,491000.0,-2.25
2024-05-23,26.61,26.97,26.99,26.5,349000.0,-1.99
2024-05-22,27.15,27.46,27.61,27.13,699000.0,-1.77
2024-05-21,27.64,27.66,27.83,27.56,506000.0,-0.4
2024-05-20,27.75,27.55,27.99,27.46,390000.0,0.72
2024-05-17,27.55,27.44,27.67,27.41,423000.0,-0.18
2024-05-16,27.6,27.45,27.65,27.1,620000.0,2.18
2024-05-15,27.01,26.94,27.38,26.89,478000.0,-0.04
2024-05-14,27.02,26.51,27.43,26.51,1737000.0,1.96
2024-05-13,26.5,25.79,26.69,25.6,1007000.0,3.51
2024-05-10,25.61,26.15,26.17,25.37,508000.0,-1.99
2024-05-09,26.12,25.42,26.18,25.4,452000.0,-0.27
2024-05-08,26.19,26.11,26.45,25.35,821000.0,0.31
2024-05-07,26.11,26.44,26.48,25.93,546000.0,-0.65
2024-05-06,26.28,26.15,26.33,25.94,372000.0,0.34
2024-05-03,26.19,25.77,26.29,25.67,505000.0,2.34
2024-05-02,25.6,26.11,26.11,25.33,564000.0,0.23
2024-04-30,25.54,25.5,26.02,25.39,663000.0,-0.58
2024-04-29,25.68,25.46,25.95,25.38,620000.0,0.43
2024-04-26,25.58,25.1,25.58,24.95,498000.0,2.69
2024-04-25,24.91,24.67,25.05,24.41,828000.0,0.69
2024-04-24,24.74,24.95,25.02,24.7,529000.0,-1.27
2024-04-23,25.06,25.18,25.38,25.01,839000.0,-1.68
2024-04-22,25.49,25.55,25.81,25.42,658000.0,0.31
2024-04-19,25.41,24.82,25.77,24.82,1372000.0,2.21
2024-04-18,24.86,24.88,25.12,24.75,1427000.0,0.2
2024-04-17,24.81,25.12,25.18,24.61,847000.0,-1.27
2024-04-16,25.13,25.91,26.13,25.1,715000.0,-3.74
2024-04-15,26.1,26.13,26.31,25.95,616000.0,-0.61
2024-04-12,26.26,26.01,26.65,25.98,657000.0,0.04
2024-04-11,26.25,26.1,26.31,25.97,433000.0,-0.11
2024-04-10,26.28,26.65,26.9,26.15,821000.0,-1.75
2024-04-09,26.75,26.31,26.84,26.27,341000.0,1.74
2024-04-08,26.29,26.0,26.29,25.79,430000.0,1.11
2024-04-05,26.0,26.34,26.38,25.95,325000.0,-1.47
2024-04-04,26.39,26.6,26.78,26.33,663000.0,0.13
2024-04-03,26.36,26.65,26.65,25.91,585000.0,-0.34
2024-04-02,26.45,26.59,26.6,26.18,435000.0,-0.78
2024-04-01,26.66,27.4,27.43,26.36,970000.0,-2.08
2024-03-28,27.22,27.11,27.57,27.11,548000.0,0.07
2024-03-27,27.2,26.95,27.26,26.94,280000.0,0.63
2024-03-26,27.03,26.92,27.33,26.78,308000.0,0.41
2024-03-25,26.93,26.95,27.16,26.86,357000.0,-1.37
2024-03-23,27.3,27.3,27.3,27.3,0.0,0.95
2024-03-22,27.04,27.57,27.63,26.95,495000.0,-2.58
2024-03-21,27.76,28.04,28.24,27.56,2037000.0,-1.03
2024-03-20,28.05,27.7,28.26,27.45,1358000.0,1.59
2024-03-19,27.61,26.99,27.84,26.87,890000.0,2.55
2024-03-18,26.93,26.89,27.29,26.78,976000.0,0.26
2024-03-15,26.86,26.77,27.55,26.76,1266000.0,0.19
2024-03-14,26.81,26.96,27.04,26.67,867000.0,-0.55
2024-03-13,26.95,26.46,27.33,26.42,962000.0,1.99
2024-03-12,26.43,26.33,26.68,26.23,525000.0,0.8
2024-03-11,26.22,25.58,26.29,25.58,582000.0,1.54
2024-03-08,25.82,25.78,25.82,25.42,426000.0,-0.15
2024-03-07,25.86,25.79,26.11,25.41,1149000.0,0.0
2024-03-06,25.86,25.78,26.76,25.41,1820000.0,2.52
2024-03-05,25.22,25.85,25.85,25.18,1751000.0,-1.86
2024-03-04,25.7,26.38,26.47,25.6,898000.0,-3.11
2024-03-01,26.53,26.54,26.7,26.32,681000.0,0.11
2024-02-29,26.5,26.53,26.69,26.16,709000.0,-0.11
2024-02-28,26.53,26.39,26.75,26.01,372000.0,0.23
